"age","sex","ndepchld","wage","working","married","wage_ln","educ"
30,"female",1,666.666687011719,1,1,6.50229024887085,12
55,"female",0,2139.91674804688,1,1,7.66852235794067,11
47,"female",0,NA,0,1,NA,11
44,"female",0,1455.30151367188,1,1,7.28296852111816,12
65,"female",0,NA,0,1,NA,10
37,"female",2,NA,0,1,NA,18
46,"female",2,1367.07690429688,1,1,7.22042989730835,17
57,"female",2,212.509613037109,1,1,5.35898733139038,10
45,"female",1,753.103454589844,1,1,6.62420272827148,11
52,"female",0,524.475524902344,1,1,6.2623987197876,11
56,"female",0,997.921020507812,1,1,6.90567398071289,10
49,"female",1,735.810791015625,1,1,6.60097312927246,10
40,"female",2,1186.81323242188,1,1,7.07902717590332,11
28,"female",0,721.153869628906,1,1,6.58085250854492,13
32,"female",2,923.076904296875,1,1,6.82771253585815,11
52,"female",0,472.222229003906,1,1,6.15744972229004,11
60,"female",0,NA,0,1,NA,10
56,"female",0,625,1,1,6.43775177001953,10
49,"female",1,527.131774902344,1,1,6.2674503326416,10
40,"female",0,535.714294433594,1,1,6.28360080718994,23
33,"female",2,1500,1,1,7.31322050094604,14
59,"female",0,246.66667175293,1,1,5.50803804397583,10
30,"female",0,820.879150390625,1,1,6.71037578582764,12
43,"female",1,519.230773925781,1,1,6.25234842300415,11
28,"female",0,737.307678222656,1,1,6.60300540924072,17
37,"female",2,1122.6611328125,1,1,7.02345705032349,10
65,"female",0,NA,0,1,NA,10
56,"female",0,NA,0,1,NA,10
25,"female",0,1020.24291992188,1,1,6.92779588699341,13
44,"female",0,NA,0,1,NA,11
63,"female",0,NA,0,1,NA,10
62,"female",0,NA,0,1,NA,10
65,"female",0,NA,0,1,NA,11
55,"female",0,NA,0,1,NA,11
23,"female",0,677.139770507812,1,1,6.51787757873535,13
41,"female",2,NA,0,1,NA,12
60,"female",0,NA,0,1,NA,9
56,"female",0,506.410247802734,1,1,6.22734689712524,19
53,"female",0,871.794860839844,1,1,6.77055406570435,10
37,"female",2,NA,0,1,NA,11
59,"female",0,NA,0,1,NA,11
59,"female",0,738.461547851562,1,1,6.60456895828247,10
62,"female",0,NA,0,1,NA,10
65,"female",0,NA,0,1,NA,10
40,"female",2,1161.87060546875,1,1,7.05778646469116,14
60,"female",0,NA,0,1,NA,12
53,"female",0,685.8974609375,1,1,6.53072834014893,10
50,"female",0,1205.12817382812,1,1,7.09434127807617,11
62,"female",0,NA,0,1,NA,17
38,"female",1,NA,0,1,NA,11
50,"female",0,NA,0,1,NA,11
59,"female",0,NA,0,1,NA,11
35,"female",1,NA,0,1,NA,11
48,"female",1,753.846130371094,1,1,6.62518835067749,11
43,"female",2,NA,0,1,NA,11
43,"female",0,807.692321777344,1,1,6.69418096542358,11
49,"female",0,551.648376464844,1,1,6.31291103363037,12
40,"female",2,692.307678222656,1,1,6.54003047943115,13
57,"female",0,748.440734863281,1,1,6.61799192428589,10
49,"female",1,500,1,1,6.21460819244385,11
50,"female",0,750,1,1,6.62007331848145,10
38,"female",1,857.142883300781,1,1,6.75360441207886,13
48,"female",0,573.804565429688,1,1,6.35228872299194,13
53,"female",0,576.923095703125,1,1,6.35770893096924,11
65,"female",0,NA,0,1,NA,10
59,"female",0,480.769226074219,1,1,6.17538738250732,11
61,"female",1,NA,0,1,NA,10
